1707851067.2370467,1707851110153; Signal Strength: 39; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851067.4359853,1707851110353; Signal Strength: 39; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851072.6365712,1707851115554; Signal Strength: 42; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851077.8372946,1707851120755; Signal Strength: 46; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851083.0376797,1707851125955; Signal Strength: 47; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851088.237712,1707851131155; Signal Strength: 47; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851093.4385242,1707851136356; Signal Strength: 47; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851098.6145587,1707851141557; Signal Strength: 47; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851103.800286,1707851146757; Signal Strength: 45; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851136.9779906,1707851179896; Signal Strength: 46; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851142.147705,1707851185096; Signal Strength: 46; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851147.3666961,1707851190297; Signal Strength: 46; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851152.5789478,1707851195498; Signal Strength: 45; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851157.7792997,1707851200698; Signal Strength: 45; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851162.9796197,1707851205899; Signal Strength: 42; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851164.1973116,1707851207116; Signal Strength: 39; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851167.8937943,1707851210813; Signal Strength: 42; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851167.9763615,1707851210904; Signal Strength: 42; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851168.1807046,1707851211099; Signal Strength: 42; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851168.6488235,1707851211568; Signal Strength: 42; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851168.725725,1707851211659; Signal Strength: 42; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851173.3808265,1707851216300; Signal Strength: 45; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851178.5812235,1707851221500; Signal Strength: 48; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851183.7815492,1707851226701; Signal Strength: 62; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
1707851188.9820595,1707851231901; Signal Strength: 59; IP Addr: 10.165.234.39; APN: globaldata.iot; SIM ICCID: 8931681011103547569; IMEI: 351901936542939; IMSI: 204080743148100; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 00ED4711
