1707949631.8524115,1707949808385; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949637.0524378,1707949813586; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949642.2528157,1707949818787; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949647.453253,1707949823987; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949652.6533902,1707949829188; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949657.8542557,1707949834388; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949663.0298636,1707949839589; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949668.2454305,1707949844789; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949673.4547484,1707949849990; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949678.6550758,1707949855190; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949683.855609,1707949860391; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949689.0557277,1707949865591; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949694.2560043,1707949870792; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949699.456476,1707949875992; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949704.658046,1707949881194; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949709.8584218,1707949886394; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949715.0589547,1707949891595; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949720.2586012,1707949896795; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949725.4597182,1707949901996; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949730.660276,1707949907197; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949735.8596935,1707949912397; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949741.060017,1707949917598; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949746.2362044,1707949922798; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949751.4583383,1707949927999; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949756.661199,1707949933199; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949761.862022,1707949938400; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949767.0617247,1707949943600; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949772.2624202,1707949948801; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949777.462732,1707949954001; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949782.6627574,1707949959202; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949787.86373,1707949964403; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949793.0638998,1707949969603; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949798.2644339,1707949974804; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949803.4645245,1707949980004; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949808.664411,1707949985205; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949813.8649912,1707949990405; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949819.0649812,1707949995605; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949824.265483,1707950000806; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949829.439371,1707950006006; Signal Strength: 76; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
1707949834.6573238,1707950011207; Signal Strength: 77; IP Addr: 10.165.247.105; APN: globaldata.iot; SIM ICCID: 8931681011103550381; IMEI: 351901936540628; IMSI: 204080743148382; Modem FW Ver: mfw_nrf9160_1.3.5; Cell ID: 02229217
